Iteration,Value,Model
0,0.0464,GMF
1,0.0518,GMF
2,0.0514,GMF
3,0.0513,GMF
4,0.0506,GMF
5,0.0509,GMF
6,0.0502,GMF
7,0.0501,GMF
8,0.0496,GMF
9,0.0493,GMF
10,0.0487,GMF
11,0.0487,GMF
12,0.0487,GMF
13,0.0488,GMF
14,0.0485,GMF
15,0.049,GMF
16,0.048,GMF
17,0.0483,GMF
18,0.0481,GMF
19,0.0482,GMF
20,0.0483,GMF
0,0.0474,MLP
1,0.058,MLP
2,0.0579,MLP
3,0.0586,MLP
4,0.0575,MLP
5,0.0538,MLP
6,0.0495,MLP
7,0.0454,MLP
8,0.046,MLP
9,0.0459,MLP
10,0.0456,MLP
11,0.0458,MLP
12,0.0461,MLP
13,0.046,MLP
14,0.0464,MLP
15,0.0467,MLP
16,0.0464,MLP
17,0.0461,MLP
18,0.0459,MLP
19,0.046,MLP
20,0.047,MLP
0,0.0586,NeuMF
1,0.0569,NeuMF
2,0.0482,NeuMF
3,0.0456,NeuMF
4,0.0459,NeuMF
5,0.0459,NeuMF
6,0.0458,NeuMF
7,0.0456,NeuMF
8,0.0454,NeuMF
9,0.046,NeuMF
10,0.0457,NeuMF
11,0.0464,NeuMF
12,0.0456,NeuMF
13,0.0455,NeuMF
14,0.0461,NeuMF
15,0.046,NeuMF
16,0.0468,NeuMF
17,0.0458,NeuMF
18,0.0465,NeuMF
19,0.0467,NeuMF
20,0.0459,NeuMF
0,0.0464,PureNeuMF
1,0.058,PureNeuMF
2,0.0582,PureNeuMF
3,0.0582,PureNeuMF
4,0.0527,PureNeuMF
5,0.0465,PureNeuMF
6,0.0451,PureNeuMF
7,0.0452,PureNeuMF
8,0.0452,PureNeuMF
9,0.0457,PureNeuMF
10,0.0452,PureNeuMF
11,0.0453,PureNeuMF
12,0.0452,PureNeuMF
13,0.0454,PureNeuMF
14,0.0449,PureNeuMF
15,0.0453,PureNeuMF
16,0.0455,PureNeuMF
17,0.0455,PureNeuMF
18,0.0458,PureNeuMF
19,0.0455,PureNeuMF
20,0.0457,PureNeuMF
0,0.0464,MF
1,0.0585,MF
2,0.0584,MF
3,0.0585,MF
4,0.0585,MF
5,0.0585,MF
6,0.0584,MF
7,0.0583,MF
8,0.0583,MF
9,0.0583,MF
10,0.0583,MF
11,0.0583,MF
12,0.0583,MF
13,0.0583,MF
14,0.0582,MF
15,0.0583,MF
16,0.0583,MF
17,0.0583,MF
18,0.0584,MF
19,0.0583,MF
20,0.0583,MF